"MD_EARN_WNE_P10","LOCALE","CCBASIC","CONTROL"
50050,"21","22","2"
40264,"11","22","2"
54521,"13","18","1"
84918,"12","15","2"
65584,"21","16","1"
62048,"21","15","1"
47107,"31","21","1"
79786,"11","15","2"
51531,"21","19","2"
45043,"12","18","2"
60711,"22","16","1"
60928,"11","18","2"
75515,"11","19","2"
52258,"21","19","1"
57309,"12","18","1"
51909,"31","17","2"
49930,"12","20","2"
49644,"32","16","1"
55881,"11","17","2"
46112,"21","16","1"
51832,"32","17","1"
42832,"12","19","2"
43988,"33","22","1"
50362,"13","18","2"
41194,"21","22","2"
75842,"12","15","1"
61101,"13","15","1"
73541,"33","16","1"
56525,"13","18","1"
46907,"13","17","1"
52912,"21","16","1"
46231,"22","18","1"
44111,"23","18","2"
46679,"11","15","1"
49652,"13","16","1"
53472,"11","18","2"
55159,"21","17","2"
53895,"11","18","2"
61201,"11","15","1"
54750,"13","19","1"
47117,"22","19","1"
40511,"11","22","2"
51372,"13","18","1"
39890,"41","20","2"
67398,"11","17","2"
52603,"11","17","2"
43800,"33","19","1"
51346,"32","20","1"
33444,"43","19","1"
41762,"12","18","2"
34399,"42","22","2"
37214,"33","18","1"
34946,"12","16","1"
48255,"33","15","1"
35642,"33","19","1"
45183,"21","17","2"
46141,"33","15","1"
35997,"13","17","2"
39588,"32","22","2"
42206,"43","22","2"
37543,"12","19","2"
37541,"33","22","2"
47009,"13","17","2"
39658,"21","18","2"
38814,"13","22","1"
39574,"33","22","2"
56986,"12","15","1"
52279,"11","16","1"
80289,"33","16","1"
48360,"21","16","1"
50719,"33","19","1"
43505,"33","18","1"
58922,"11","18","2"
65934,"11","16","2"
40499,"32","19","2"
45589,"12","17","1"
82732,"21","15","2"
47663,"21","18","2"
52861,"21","22","2"
57154,"33","22","2"
39417,"13","22","2"
49032,"33","20","1"
49066,"33","15","1"
41194,"13","16","1"
46400,"12","20","2"
39755,"33","22","1"
45784,"32","18","2"
46054,"32","18","1"
50032,"32","20","2"
52697,"11","19","2"
52360,"11","15","1"
52464,"12","15","1"
55360,"11","15","1"
44447,"32","19","2"
91627,"33","15","2"
61997,"23","15","1"
61997,"12","21","1"
44790,"21","21","2"
51823,"21","19","2"
51404,"21","19","2"
54650,"21","19","2"
46953,"13","19","2"
55410,"21","16","1"
50888,"21","18","1"
59513,"21","18","2"
80043,"11","15","1"
60019,"21","19","1"
56442,"21","18","2"
65661,"13","16","1"
65661,"13","15","1"
65661,"11","16","1"
68441,"21","16","2"
51729,"22","18","1"
65481,"21","18","1"
33395,"33","18","1"
64650,"33","20","1"
41674,"11","15","1"
36683,"22","16","1"
65380,"21","17","2"
53395,"11","18","2"
46087,"31","22","2"
89871,"11","15","2"
53695,"21","20","2"
91176,"13","15","2"
67136,"11","18","1"
54322,"11","18","1"
55741,"11","16","1"
55713,"11","18","1"
50491,"11","18","1"
51661,"11","18","1"
54742,"11","18","1"
49722,"11","22","1"
53680,"11","17","2"
53878,"13","22","2"
74578,"11","16","2"
59538,"21","18","2"
52757,"21","17","2"
49292,"21","18","2"
71986,"21","18","2"
59665,"13","19","2"
55820,"11","20","2"
53981,"11","16","2"
76040,"11","15","2"
52279,"21","18","2"
58013,"21","18","2"
44409,"11","18","2"
65697,"11","17","2"
93416,"13","15","2"
45184,"21","18","2"
66280,"21","16","2"
68335,"12","15","2"
52124,"11","22","2"
58103,"21","20","2"
56804,"11","19","2"
56461,"21","17","2"
65736,"11","17","2"
39969,"33","22","1"
40300,"32","22","1"
61646,"21","22","1"
41739,"42","23","1"
59745,"13","15","1"
72980,"22","15","1"
62022,"21","15","1"
66678,"21","15","1"
57011,"22","19","1"
48926,"31","18","1"
45426,"11","18","1"
53711,"32","18","1"
45313,"32","19","1"
56241,"32","20","1"
52374,"21","18","1"
51984,"33","19","1"
49223,"32","18","1"
45289,"21","21","1"
50921,"21","20","1"
48339,"32","19","1"
84443,"11","20","1"
45602,"32","18","1"
43613,"31","22","2"
42947,"22","22","2"
49601,"31","17","2"
43015,"22","22","2"
35704,"32","21","2"
93115,"11","15","2"
47403,"13","16","1"
35274,"32","22","1"
36409,"12","19","1"
42248,"32","17","2"
41936,"11","22","2"
42015,"11","21","2"
37073,"11","21","2"
39051,"42","22","2"
43646,"11","21","2"
45768,"12","20","2"
42166,"21","20","2"
42366,"31","20","2"
41157,"11","16","1"
42027,"13","21","1"
61915,"13","15","1"
52252,"11","16","1"
44195,"11","16","1"
36546,"11","18","1"
61353,"11","15","1"
41989,"13","22","2"
49739,"12","16","1"
41828,"11","22","2"
39279,"32","18","1"
42121,"42","18","2"
52880,"11","18","2"
38584,"12","19","1"
43366,"32","18","1"
48098,"33","22","1"
49050,"33","22","2"
55720,"41","17","2"
42211,"43","22","1"
45458,"33","19","1"
57299,"13","16","1"
56246,"12","16","1"
45429,"33","22","1"
43796,"12","16","1"
48165,"31","18","2"
49644,"21","18","2"
45560,"31","16","1"
49074,"31","20","2"
49481,"11","15","1"
46422,"11","16","1"
66384,"12","16","2"
42915,"32","22","2"
51703,"32","17","2"
48092,"31","22","2"
60293,"21","19","2"
42837,"21","16","1"
40854,"21","20","2"
45525,"13","19","2"
54650,"31","16","1"
47631,"32","19","2"
48956,"21","18","2"
72235,"31","22","2"
55332,"11","15","1"
47145,"32","16","1"
49811,"21","19","2"
48039,"11","16","1"
55319,"21","19","2"
52533,"21","19","2"
34690,"41","22","2"
44863,"32","22","2"
44700,"21","16","1"
44700,"41","22","1"
62015,"11","18","2"
39413,"13","18","1"
36274,"32","22","2"
48309,"32","19","2"
40737,"33","18","1"
38876,"21","21","2"
40170,"33","18","1"
40371,"33","20","1"
43503,"11","18","2"
52702,"32","15","1"
43596,"32","22","2"
47648,"11","17","2"
57071,"22","15","1"
42161,"11","22","2"
37083,"32","21","1"
41698,"32","18","1"
54632,"11","16","2"
49472,"31","17","2"
66898,"32","21","2"
46847,"12","19","2"
67184,"33","22","1"
56619,"13","15","1"
53472,"12","15","1"
54436,"21","17","2"
51902,"11","16","1"
71543,"11","19","2"
43741,"22","18","1"
47947,"12","22","2"
47041,"31","18","1"
56641,"41","18","2"
53142,"21","18","2"
45258,"23","18","1"
48449,"11","18","2"
52679,"12","20","2"
46555,"11","19","2"
50383,"21","20","2"
76378,"11","15","2"
66207,"11","16","2"
51124,"13","18","1"
45931,"21","18","2"
37587,"31","18","1"
58289,"21","21","2"
56550,"13","17","2"
60370,"21","19","2"
58844,"11","18","2"
53417,"21","17","2"
44089,"32","17","1"
38525,"21","22","2"
46418,"31","18","1"
46784,"21","20","2"
39435,"21","20","2"
95033,"13","16","2"
38652,"21","19","1"
45577,"32","19","1"
42931,"32","21","1"
50536,"13","18","2"
48883,"21","19","2"
48420,"21","18","1"
68629,"12","21","2"
50165,"21","18","2"
103246,"11","15","2"
57961,"33","22","1"
57961,"21","21","1"
57961,"23","22","1"
57961,"11","15","1"
43351,"11","18","2"
54576,"21","17","2"
45641,"21","19","2"
58461,"31","18","2"
73428,"11","18","2"
69236,"13","18","2"
49797,"31","18","1"
47391,"32","18","1"
67807,"11","16","2"
90613,"21","16","2"
53183,"32","19","2"
53418,"21","18","1"
62030,"21","17","2"
56992,"13","17","2"
34817,"13","20","2"
54892,"22","20","2"
69532,"12","18","2"
49249,"21","18","1"
66484,"21","16","1"
42048,"12","19","2"
41792,"21","18","2"
49534,"12","18","1"
67770,"12","18","1"
33325,"32","22","2"
63857,"21","15","1"
36437,"32","20","2"
36834,"12","20","2"
36585,"12","20","2"
39838,"23","20","1"
58343,"21","21","2"
41049,"32","22","1"
39684,"31","22","2"
40031,"41","20","2"
44741,"21","22","1"
41518,"31","21","1"
54109,"12","15","1"
44305,"13","18","1"
34582,"32","20","1"
42949,"22","22","1"
41504,"13","18","1"
50137,"12","20","2"
39963,"32","20","1"
44019,"32","20","1"
45864,"33","22","2"
43429,"33","20","1"
49845,"33","16","1"
46600,"32","16","1"
39320,"12","18","1"
49950,"11","17","2"
40767,"32","18","2"
42546,"23","17","2"
47554,"11","17","2"
40733,"13","16","1"
42036,"32","20","2"
48892,"13","18","2"
40101,"13","19","2"
41659,"32","17","2"
37796,"32","22","2"
45957,"21","22","2"
43699,"11","16","1"
44811,"12","17","1"
48003,"21","19","2"
42004,"32","22","2"
43830,"12","17","1"
52676,"12","15","1"
43326,"33","16","1"
46134,"11","17","2"
40083,"32","19","2"
47834,"13","17","2"
49294,"12","18","2"
44242,"12","18","1"
49898,"11","18","2"
47320,"11","16","1"
50033,"11","17","2"
39992,"41","19","1"
44369,"32","17","1"
46447,"12","19","2"
51555,"11","18","2"
52998,"21","18","1"
56763,"11","15","1"
36769,"11","22","2"
48532,"11","17","2"
44159,"12","17","1"
46823,"11","18","1"
52123,"13","19","2"
43733,"11","19","2"
47440,"23","18","2"
45756,"12","22","2"
50396,"12","18","1"
51232,"12","15","1"
41813,"11","17","2"
45895,"12","16","1"
35651,"11","22","2"
40354,"32","18","1"
50125,"32","17","1"
41064,"33","22","2"
52285,"11","18","2"
72514,"21","16","2"
39942,"21","20","2"
57053,"13","21","2"
45914,"33","17","1"
50671,"13","16","1"
47194,"31","22","2"
43314,"33","18","1"
46642,"33","18","1"
47368,"32","16","1"
66566,"12","15","1"
54633,"11","15","1"
67839,"11","15","1"
60595,"12","15","1"
49446,"12","17","1"
61325,"11","16","2"
51215,"31","22","2"
50006,"12","18","1"
50810,"11","16","1"
35199,"11","16","1"
58435,"11","15","1"
49382,"11","17","2"
49724,"12","17","1"
45166,"33","18","2"
45739,"31","18","1"
70785,"12","16","2"
49232,"31","22","2"
47456,"33","18","1"
50432,"13","16","1"
60590,"12","15","1"
56565,"12","18","2"
46876,"32","22","1"
65933,"32","21","2"
58245,"13","16","1"
45467,"32","22","2"
64723,"23","16","1"
41712,"11","17","2"
42697,"13","19","2"
66148,"21","15","1"
61268,"13","18","1"
42394,"13","17","2"
45952,"33","19","1"
39538,"13","17","2"
54819,"22","19","1"
60360,"12","18","2"
